Maskapai,Kode Bandara Asal,Nama Bandara Asal,Kota Bandara Asal,Negara Bandara Asal,Kode Bandara Tujuan,Nama Bandara Tujuan,Kota Bandara Tujuan,Negara Bandara Tujuan,Rute,Bobot
GA,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BDJ', 'CGK')",4
GA,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('BDJ', 'SUB')",4
GA,BEJ,Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BEJ', 'BPN')",3
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,BEJ,Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,"('BEJ', 'BPN')",3
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BPN', 'CGK')",5
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,MDC,Sam Ratulangi Airport,Manado,Indonesia,"('BPN', 'MDC')",2
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('BPN', 'SUB')",4
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,TRK,Juwata Airport,Taraken,Indonesia,"('BPN', 'TRK')",3
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('BPN', 'UPG')",4
GA,BTH,Hang Nadim International Airport,Batam,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BTH', 'CGK')",4
GA,BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BTJ', 'CGK')",2
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,"('BDJ', 'CGK')",4
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BPN', 'CGK')",5
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BTH,Hang Nadim International Airport,Batam,Indonesia,"('BTH', 'CGK')",4
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,Indonesia,"('BTJ', 'CGK')",2
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,DJJ,Sentani International Airport,Jayapura,Indonesia,"('CGK', 'DJJ')",3
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,"('CGK', 'DPS')",7
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,LOP,Lombok International Airport,Praya,Indonesia,"('CGK', 'LOP')",2
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,MDC,Sam Ratulangi Airport,Manado,Indonesia,"('CGK', 'MDC')",3
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PDG,Minangkabau International Airport,Padang,Indonesia,"('CGK', 'PDG')",4
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru,Indonesia,"('CGK', 'PKU')",6
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PKY,Tjilik Riwut Airport,Palangkaraya,Indonesia,"('CGK', 'PKY')",2
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PNK,Supadio Airport,Pontianak,Indonesia,"('CGK', 'PNK')",3
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('CGK', 'SUB')",6
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('CGK', 'UPG')",4
